29,362153,27651,7.1,2019
31,53282,4440,7.7,2019
33,27317,1467,5.1,2019
35,9277,397,4.1,2019
37,4946895,224411,4.3,2019
39,57803,4160,6.7,2019
41,137879,2750,2,2019
43,6808,316,4.4,2019
45,36948,1434,3.7,2019
47,105874,9069,7.9,2019
49,2818,215,7.1,2019
51,8450,284,3.3,2019
53,195663,15284,7.2,2019
55,69883,2056,2.9,2019
57,47443,1420,2.9,2019
59,1592027,39118,2.4,2019
61,183581,5054,2.7,2019
63,6932,580,7.7,2019
65,1071322,40572,3.6,2019
67,691943,22892,3.2,2019
69,29775,1528,4.9,2019
71,943280,32209,3.3,2019
73,1552857,44242,2.8,2019
75,578146,11140,1.9,2019
77,307645,18348,5.6,2019
79,135817,3534,2.5,2019
81,456645,8134,1.8,2019
83,207294,7682,3.6,2019
85,1035852,23028,2.2,2019
87,132443,6606,4.8,2019
89,71028,3074,4.1,2019
91,1262,60,4.5,2019
93,15784,1068,6.3,2019
95,202607,6957,3.3,2019
97,253575,6114,2.4,2019
99,229013,13505,5.6,2019
101,42929,3307,7.2,2019
103,24148,1238,4.9,2019
105,4239,235,5.3,2019
107,183652,18889,9.3,2019
109,20635,834,3.9,2019
111,410292,14233,3.4,2019
113,104652,4227,3.9,2019
115,29092,1708,5.5,2019
1,270813,6957,2.5,2019
3,8656,276,3.1,2019
5,362076,8548,2.3,2019
7,6600,183,2.7,2019
9,2255,30,1.3,2019
11,1981,44,2.2,2019
13,193839,3907,2,2019
14,40001,844,2.1,2019
15,9447,204,2.1,2019
17,1257,17,1.3,2019
19,6016,119,1.9,2019
21,4194,133,3.1,2019
23,1864,63,3.3,2019
25,1480,54,3.5,2019
27,2054,56,2.7,2019
29,14296,434,2.9,2019
31,414090,9827,2.3,2019
33,1180,30,2.5,2019
35,193632,3893,2,2019
37,38137,703,1.8,2019
39,15321,281,1.8,2019
41,334234,9598,2.8,2019
43,14274,591,4,2019
45,33012,823,2.4,2019
47,3761,73,1.9,2019
49,10302,181,1.7,2019
51,11774,226,1.9,2019
53,375,14,3.6,2019
55,2416,129,5.1,2019
57,1031,19,1.8,2019
59,333266,7386,2.2,2019
61,1048,11,1,2019
63,4496,66,1.4,2019
65,5181,84,1.6,2019
67,31343,687,2.1,2019
69,205003,4153,2,2019
71,6491,223,3.3,2019
73,2411,56,2.3,2019
75,11139,216,1.9,2019
77,73867,2374,3.1,2019
79,546,11,2,2019
81,7192,239,3.2,2019
83,12346,520,4,2019
85,21614,561,2.5,2019
87,16573,376,2.2,2019
89,8344,287,3.3,2019
91,2278,77,3.3,2019
93,11077,239,2.1,2019
95,2776,34,1.2,2019
97,11300,329,2.8,2019
99,6534,133,2,2019
101,73860,2734,3.6,2019
103,2922,87,2.9,2019
105,5505,233,4.1,2019
107,16903,297,1.7,2019
109,3668,140,3.7,2019
111,488,19,3.7,2019
113,6284,164,2.5,2019
115,1297,21,1.6,2019
117,25224,341,1.3,2019
119,12447,324,2.5,2019
121,3010,51,1.7,2019
123,168655,3890,2.3,2019
125,6313,81,1.3,2019
1,467277,15038,3.1,2019
3,468918,16324,3.4,2019
5,102206,3156,3,2019
7,91661,2623,2.8,2019
9,448627,15617,3.4,2019
11,132425,4313,3.2,2019
13,85012,2507,2.9,2019
15,62238,2262,3.5,2019
1,77341,2986,3.7,2019
3,291335,10087,3.3,2019
5,102313,4227,4,2019
1,397389,18940,4.5,2019
1,136953,3423,2.4,2019
3,11692,318,2.6,2019
5,79066,2405,3,2019
7,10898,294,2.6,2019
9,277466,7746,2.7,2019
11,1015693,26811,2.6,2019
13,4582,155,3.3,2019
15,70598,2216,3,2019
17,45017,1944,4.1,2019
19,106332,2763,2.5,2019
21,179927,4704,2.5,2019
23,29525,800,2.6,2019
27,14271,440,3,2019
29,5667,205,3.5,2019
31,484351,13416,2.7,2019
33,141872,4028,2.8,2019
35,45498,1555,3.3,2019
37,4348,120,2.7,2019
39,18152,643,3.4,2019
41,6987,208,2.9,2019
43,5296,183,3.3,2019
45,5366,195,3.5,2019
47,4058,156,3.7,2019
49,8596,354,4,2019
51,15173,760,4.8,2019
53,69714,2586,3.6,2019
55,35223,1415,3.9,2019
57,737843,19370,2.6,2019
59,6796,210,3,2019
61,64044,2106,3.2,2019
63,16586,528,3.1,2019
65,5488,155,2.7,2019
67,2754,70,2.5,2019
69,155998,4373,2.7,2019
71,344074,9174,2.6,2019
73,151948,3993,2.6,2019
75,16208,498,3,2019
77,2551,79,3,2019
79,7255,242,3.2,2019
81,176542,4794,2.6,2019
83,133193,4470,3.2,2019
85,72437,1956,2.6,2019
86,1353568,23646,1.7,2019
87,47029,828,1.7,2019
89,40684,1044,2.5,2019
91,92494,2208,2.3,2019
93,17629,494,2.7,2019
95,750030,18715,2.4,2019
97,180524,5127,2.8,2019
99,715236,20000,2.7,2019
101,232367,7077,3,2019
103,485209,12526,2.5,2019
105,298597,9460,3.1,2019
107,25501,995,3.8,2019
109,131113,2971,2.2,2019
111,140635,4814,3.3,2019
113,80886,2105,2.5,2019
115,185038,4964,2.6,2019
117,251096,6310,2.5,2019
119,31500,1289,3.9,2019
121,17496,537,3,2019
123,7937,245,3,2019
125,4540,120,2.6,2019
127,246741,7567,3,2019
129,14624,369,2.5,2019
131,30062,788,2.6,2019
133,9320,278,2.9,2019
1,9102,320,3.4,2019
3,4546,126,2.7,2019
5,4677,177,3.6,2019
7,1107,47,4.1,2019
9,16761,656,3.8,2019
11,9483,219,2.3,2019
13,40004,944,2.3,2019
15,49804,1612,3.1,2019
17,5016,292,5.5,2019
19,7167,332,4.4,2019
21,65861,2118,3.1,2019
23,4275,170,3.8,2019
25,6896,254,3.6,2019
27,6647,201,2.9,2019
29,17703,457,2.5,2019
31,35042,1119,3.1,2019
33,8738,382,4.2,2019
35,10575,295,2.7,2019
37,2192,65,2.9,2019
39,20206,623,3,2019
43,5401,168,3,2019
45,54244,1562,2.8,2019
47,32764,901,2.7,2019
49,4655,146,3,2019
51,134914,3872,2.8,2019
53,1912,72,3.6,2019
55,9775,1359,12.2,2019
57,134474,3080,2.2,2019
59,57596,1629,2.8,2019
61,811,57,6.6,2019
63,134601,4816,3.5,2019
65,2420,88,3.5,2019
67,420158,10468,2.4,2019
69,18142,807,4.3,2019
71,20496,567,2.7,2019
73,73255,1860,2.5,2019
75,7747,266,3.3,2019
77,73793,1830,2.4,2019
79,5442,158,2.8,2019
81,9073,309,3.3,2019
83,7935,231,2.8,2019
85,12142,295,2.4,2019
87,11076,368,3.2,2019
89,393076,11461,2.8,2019
91,6635,326,4.7,2019
93,4929,167,3.3,2019
95,37006,1546,4,2019
97,71971,2173,2.9,2019
99,4278,161,3.6,2019
101,1851,45,2.4,2019
103,29992,754,2.5,2019
105,7371,275,3.6,2019
107,7875,382,4.6,2019
109,4722,136,2.8,2019
111,11050,326,2.9,2019
113,57354,1396,2.4,2019
